
Group: 50, Day: 2, Room: 13, Gilt Count: 20
Group: 50, Day: 2, Room: 14, Gilt Count: 15
Group: 50, Day: 3, Room: 14, Gilt Count: 5
Group: 50, Day: 3, Room: 15, Gilt Count: 20
Group: 50, Day: 3, Room: 16, Gilt Count: 2
Group: 50, Day: 4, Room: 16, Gilt Count: 5
Group: 50, Day: 2, Room: 13, Gilt Count: 20
Group: 50, Day: 2, Room: 14, Gilt Count: 15
Group: 50, Day: 3, Room: 14, Gilt Count: 5
Group: 50, Day: 3, Room: 15, Gilt Count: 20
Group: 50, Day: 3, Room: 16, Gilt Count: 2
Group: 50, Day: 4, Room: 16, Gilt Count: 5
Group: 50, Day: 5, Room: 16, Gilt Count: 10
Group: 50, Day: 6, Room: 16, Gilt Count: 3
Group: 50, Day: 6, Room: 17, Gilt Count: 20
Group: 50, Day: 6, Room: 18, Gilt Count: 10
Group: 50, Day: 7, Room: 18, Gilt Count: 10
Group: 50, Day: 7, Room: 19, Gilt Count: 1
Group: 51, Day: 1, Room: 19, Gilt Count: 19
Group: 51, Day: 1, Room: 20, Gilt Count: 20
Group: 51, Day: 1, Room: 21, Gilt Count: 9
Group: 51, Day: 2, Room: 21, Gilt Count: 11
Group: 51, Day: 2, Room: 22, Gilt Count: 20
Group: 51, Day: 2, Room: 23, Gilt Count: 7
Group: 51, Day: 3, Room: 23, Gilt Count: 13
Group: 51, Day: 3, Room: 24, Gilt Count: 11
Group: 51, Day: 4, Room: 24, Gilt Count: 9
Group: 51, Day: 4, Room: 25, Gilt Count: 3
Group: 51, Day: 5, Room: 25, Gilt Count: 10
Group: 51, Day: 6, Room: 25, Gilt Count: 7
Group: 51, Day: 6, Room: 26, Gilt Count: 5
Group: 51, Day: 7, Room: 26, Gilt Count: 15
Group: 51, Day: 7, Room: 27, Gilt Count: 2
Group: 52, Day: 1, Room: 27, Gilt Count: 18
Group: 52, Day: 1, Room: 28, Gilt Count: 4
Group: 52, Day: 2, Room: 28, Gilt Count: 16
Group: 52, Day: 2, Room: 29, Gilt Count: 20
Group: 52, Day: 3, Room: 29, Gilt Count: 0
Group: 52, Day: 3, Room: 30, Gilt Count: 20
Group: 52, Day: 3, Room: 31, Gilt Count: 19
Group: 52, Day: 4, Room: 31, Gilt Count: 1
Group: 52, Day: 4, Room: 32, Gilt Count: 4
Group: 52, Day: 5, Room: 32, Gilt Count: 8
Group: 52, Day: 6, Room: 32, Gilt Count: 8
Group: 52, Day: 6, Room: 33, Gilt Count: 4
Group: 52, Day: 7, Room: 33, Gilt Count: 16
Group: 52, Day: 7, Room: 34, Gilt Count: 9
Group: 50, Day: 2, Room: 13, Gilt Count: 20
Group: 50, Day: 2, Room: 14, Gilt Count: 15
Group: 50, Day: 3, Room: 14, Gilt Count: 5
Group: 50, Day: 3, Room: 15, Gilt Count: 20
Group: 50, Day: 3, Room: 16, Gilt Count: 2
Group: 50, Day: 4, Room: 16, Gilt Count: 5
Group: 50, Day: 5, Room: 16, Gilt Count: 10
Group: 50, Day: 6, Room: 16, Gilt Count: 3
Group: 50, Day: 6, Room: 17, Gilt Count: 20
Group: 50, Day: 6, Room: 18, Gilt Count: 10
Group: 50, Day: 7, Room: 18, Gilt Count: 10
Group: 50, Day: 7, Room: 19, Gilt Count: 1
Group: 51, Day: 1, Room: 19, Gilt Count: 19
Group: 51, Day: 1, Room: 20, Gilt Count: 20
Group: 51, Day: 1, Room: 21, Gilt Count: 9
Group: 51, Day: 2, Room: 21, Gilt Count: 11
Group: 51, Day: 2, Room: 22, Gilt Count: 20
Group: 51, Day: 2, Room: 23, Gilt Count: 7
Group: 51, Day: 3, Room: 23, Gilt Count: 13
Group: 51, Day: 3, Room: 24, Gilt Count: 11
Group: 51, Day: 4, Room: 24, Gilt Count: 9
Group: 51, Day: 4, Room: 25, Gilt Count: 3
Group: 51, Day: 5, Room: 25, Gilt Count: 10
Group: 51, Day: 6, Room: 25, Gilt Count: 7
Group: 51, Day: 6, Room: 26, Gilt Count: 5
Group: 51, Day: 7, Room: 26, Gilt Count: 15
Group: 51, Day: 7, Room: 27, Gilt Count: 2
Group: 52, Day: 1, Room: 27, Gilt Count: 18
Group: 52, Day: 1, Room: 28, Gilt Count: 4
Group: 52, Day: 2, Room: 28, Gilt Count: 16
Group: 52, Day: 2, Room: 29, Gilt Count: 20
Group: 52, Day: 3, Room: 29, Gilt Count: 0
Group: 52, Day: 3, Room: 30, Gilt Count: 20
Group: 52, Day: 3, Room: 31, Gilt Count: 19
Group: 52, Day: 4, Room: 31, Gilt Count: 1
Group: 52, Day: 4, Room: 32, Gilt Count: 4
Group: 52, Day: 5, Room: 32, Gilt Count: 8
Group: 52, Day: 6, Room: 32, Gilt Count: 8
Group: 52, Day: 6, Room: 33, Gilt Count: 4
Group: 52, Day: 7, Room: 33, Gilt Count: 16
Group: 52, Day: 7, Room: 34, Gilt Count: 9
